files,Classes ,Methods ,Added ,Lines ,Removed ,Modified ,Chunks ,Failingtests ,RelevantTestCount,StatementCoverage,RepairActions ,RepairPatterns ,correct
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,0.090087628,-2.287726797,-0.995870595,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.464406725,0.784143938,-0.59586717,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,0.226480492,-3.517930954,-0.59586717,0.463971772,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.209466793,-4.158510633,-0.195863746,0.463971772,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.217114991,-1.887364497,1.004146528,2.257995955,0
1.665852539,1.665852539,3.123790088,1.571683612,1.036486653,-0.295021833,-0.700184882,0.817054306,0.60835964,0.1958877,-1.144874414,-0.59586717,0.463971772,1
-0.178030042,-0.178030042,0.770805346,0.304599525,-0.05257541,-0.295021833,-0.700184882,0.346923852,-0.25930083,-0.212016192,-0.693556913,-0.59586717,1.360983863,0
-0.178030042,-0.178030042,-0.405687024,-0.419448526,-0.519316294,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.389199445,-0.992008809,0.604143103,-0.43304032,0
1.665852539,1.665852539,1.947297717,1.209659587,1.192066948,0.406259573,-0.106460859,1.757315214,0.60835964,-0.048854635,-0.154887637,2.204156801,1.360983863,0
-0.178030042,-0.178030042,0.770805346,0.485611537,0.103004885,-0.295021833,-0.700184882,-0.123206602,0.029919327,0.000858652,-0.911936349,-0.195863746,0.463971772,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.088370325,-0.205842839,-0.59586717,0.463971772,1
-0.178030042,-0.178030042,0.770805346,6.45900795,5.23715461,-0.295021833,-0.700184882,0.817054306,-0.25930083,-0.444011531,-0.358708444,1.004146528,0.463971772,0
-0.178030042,-0.178030042,1.947297717,4.829899837,4.303672842,0.05561887,0.487263164,2.227445668,1.186799954,-0.400671742,-0.628043082,3.004163651,2.257995955,0
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.44656093,0.492971357,-0.59586717,1.360983863,1
-0.178030042,-0.178030042,0.770805346,1.571683612,1.347647242,-0.295021833,0.487263164,1.757315214,0.60835964,-0.454209128,-1.44332631,1.404149952,3.155008047,0
-0.178030042,-0.178030042,-0.405687024,-0.238436513,-0.519316294,-0.295021833,-0.700184882,-0.123206602,5.814322466,0.226480492,0.04893317,-0.995870595,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,-0.238436513,-0.519316294,-0.295021833,-0.700184882,-0.593337056,-0.25930083,-0.356057254,-0.715394857,-0.995870595,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,-0.238436513,-0.519316294,-0.295021833,-0.700184882,-0.123206602,5.814322466,0.08371413,-1.355974536,-0.995870595,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,0.123587512,-0.05257541,-0.295021833,-0.106460859,-0.123206602,-0.25930083,-0.093469123,-0.919215664,0.204139679,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,0.66662355,0.414165474,-0.295021833,-0.106460859,-0.593337056,0.029919327,0.153822612,0.281871235,1.804153377,-0.43304032,0
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.519316294,-0.295021833,0.487263164,-0.123206602,-0.25930083,-0.44528623,-0.045697919,-0.195863746,0.463971772,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.436363333,-2.942865105,-0.59586717,0.463971772,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.384100647,-0.984729495,-0.995870595,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,0.569745769,2.860744492,-0.700184882,-0.123206602,0.029919327,-0.25663068,0.230916033,0.204139679,-1.330052412,1
-0.178030042,-0.178030042,0.770805346,2.8387677,2.125548716,-0.295021833,-0.700184882,0.817054306,-0.25930083,-0.200543895,-0.038418605,1.804153377,1.360983863,0
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.25663068,0.471133413,-0.59586717,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,-0.057424501,-0.363735999,-0.295021833,-0.700184882,-0.593337056,-0.25930083,-0.44783563,0.784143938,0.204139679,-1.330052412,0
-0.178030042,-0.178030042,0.770805346,-0.600460538,-0.519316294,-0.295021833,0.487263164,-0.123206602,0.029919327,0.280017878,0.587602446,0.204139679,0.463971772,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.317816264,0.478412728,-0.195863746,1.360983863,1
-0.178030042,-0.178030042,-0.405687024,0.485611537,0.258585179,-0.295021833,-0.106460859,-0.123206602,0.029919327,-0.433813934,0.704071478,0.604143103,1.360983863,0
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.325464462,0.631278333,-0.995870595,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.347134356,-1.166712358,-0.995870595,0.463971772,1
-0.178030042,-0.178030042,-0.405687024,-0.057424501,-0.208155705,-0.295021833,-0.106460859,-0.123206602,-0.25930083,-0.325464462,0.631278333,0.204139679,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,0.345027561,0.36922301,-0.995870595,-1.330052412,1
-0.178030042,-0.178030042,-0.405687024,0.847635562,0.414165474,-0.295021833,-0.700184882,0.817054306,0.029919327,0.262172083,0.638557648,0.204139679,0.463971772,0
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,-0.25930083,-0.140633011,0.456574784,-0.995870595,0.463971772,1
-0.178030042,-0.178030042,0.770805346,-0.600460538,-0.519316294,-0.295021833,0.487263164,-0.123206602,-0.25930083,0.547704808,0.536647244,0.204139679,-1.330052412,1
-0.178030042,-0.178030042,-0.405687024,-0.419448526,-0.674896589,-0.295021833,-0.700184882,-0.593337056,-0.25930083,-0.390474145,-1.203108931,-0.995870595,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,-0.057424501,-0.363735999,-0.295021833,-0.700184882,-0.593337056,-0.25930083,0.200986499,0.623999018,-0.995870595,0.463971772,1
-0.178030042,-0.178030042,-0.405687024,0.66662355,0.414165474,-0.295021833,-0.106460859,-0.593337056,-0.25930083,0.192063601,0.718630107,1.404149952,-0.43304032,0
-0.178030042,-0.178030042,0.770805346,2.8387677,2.436709305,-0.295021833,0.487263164,2.697576121,0.029919327,-0.158478806,0.442016155,1.804153377,0.463971772,1
-0.178030042,-0.178030042,-0.405687024,-0.419448526,-0.674896589,-0.295021833,-0.700184882,-0.593337056,-0.25930083,-0.456758527,-0.875539776,-0.995870595,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,-0.057424501,-0.363735999,-0.295021833,-0.700184882,-0.593337056,-0.25930083,-0.440187432,0.631278333,0.204139679,-1.330052412,1
-0.178030042,-0.178030042,-0.405687024,-0.057424501,-0.363735999,-0.295021833,-0.700184882,-0.593337056,-0.25930083,-0.361156053,0.784143938,-0.195863746,-0.43304032,1
-0.178030042,-0.178030042,5.47677483,-0.057424501,0.725326064,-0.295021833,3.455883278,3.167706575,-0.25930083,-0.354782554,-0.43150159,0.604143103,-1.330052412,1
-0.178030042,-0.178030042,0.770805346,0.485611537,0.103004885,-0.295021833,-0.700184882,-0.123206602,0.029919327,-0.203093294,0.740468051,-0.59586717,0.463971772,1
-0.178030042,-0.178030042,-0.405687024,0.123587512,-0.208155705,-0.295021833,-0.700184882,-0.123206602,-0.25930083,-0.10749082,-0.49701542,-0.195863746,-1.330052412,1
-0.178030042,-0.178030042,0.770805346,-0.238436513,1.036486653,1.808822383,1.67471121,1.757315214,0.029919327,-0.421066937,-1.254064132,1.804153377,2.257995955,1
-0.178030042,-0.178030042,-0.405687024,-0.419448526,-0.674896589,-0.295021833,-0.700184882,-0.593337056,-0.25930083,-0.223488489,0.784143938,-0.995870595,-1.330052412,1
-0.178030042,-0.178030042,-0.405687024,0.123587512,-0.208155705,-0.295021833,-0.700184882,-0.593337056,-0.25930083,-0.37135365,-0.504294735,-0.59586717,-1.330052412,1
-0.178030042,-0.178030042,-0.405687024,-0.238436513,-0.208155705,0.406259573,-0.700184882,0.817054306,-0.25930083,-0.426165736,0.573043817,-1.395874019,0.463971772,0
-0.178030042,-0.178030042,-0.405687024,-0.057424501,-0.363735999,-0.295021833,-0.700184882,-0.593337056,-0.25930083,-0.450385029,0.784143938,0.204139679,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,-0.238436513,-0.519316294,-0.295021833,-0.700184882,-0.123206602,-0.25930083,-0.458033227,0.653116277,-0.995870595,-1.330052412,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.674896589,-0.295021833,-0.106460859,-0.593337056,2.632900739,-0.451659729,-5.920104752,-0.195863746,-0.43304032,1
-0.178030042,-0.178030042,-0.405687024,-0.600460538,-0.519316294,0.05561887,-0.106460859,-0.593337056,-0.25930083,-0.139358311,0.682233535,-0.995870595,-1.330052412,1
